base_currency,destination_currency,purchase_value,sale_value,date_time
BOB,USD,0.140993,0.148376,2025-04-15 08:19:05
KRW,USD,0.000699,0.000701,2025-04-15 16:53:22
EGP,USD,0.019606,0.019623,2025-04-15 16:49:57
USD,BYN,3.270984,3.280372,2025-04-15 16:53:25
USD,MZN,63.250000,64.550000,2025-04-14 18:00:00
INR,USD,0.011661,0.011666,2025-04-15 16:53:22
JOD,USD,1.405086,1.415028,2025-04-15 14:09:35
KWD,USD,3.249446,3.268269,2025-04-15 16:49:56
USD,AZN,1.700000,1.700000,2025-03-14 22:06:56
USD,CNH,7.328990,7.329070,2025-04-15 16:53:26
USD,KGS,87.015000,87.023700,2025-03-18 22:47:24
USD,TJS,10.739471,10.960038,2025-04-15 08:19:05
USD,RUB,82.545303,82.553278,2025-04-15 16:53:20
MYR,USD,0.226501,0.226757,2025-04-15 06:41:43
UAH,USD,0.024107,0.024419,2025-04-15 08:19:07
HUF,USD,0.002764,0.002766,2025-04-15 16:53:25
IDR,USD,0.000059,0.000060,2025-04-15 16:53:19
USD,AOA,913.000000,923.000000,2025-04-14 18:00:00
VND,USD,0.000039,0.000039,2025-04-15 07:28:36
BYN,USD,0.304886,0.305709,2025-04-15 08:19:06
XBR,USD,72.890000,73.110000,2025-02-28 18:58:48
THB,USD,0.029797,0.029815,2025-04-15 16:52:59
PHP,USD,0.017599,0.017639,2025-04-15 16:50:52
USD,TMT,3.360000,3.660000,2025-04-14 18:00:00
XAGG,USD,1.049400,1.050500,2025-02-24 02:27:46
USD,MNT,3465.000000,3475.000000,2025-02-28 18:23:08
USD,AFN,71.719404,73.483936,2025-04-15 08:19:06
AFN,USD,0.013699,0.014286,2025-04-13 18:00:01
SYP,USD,0.000080,0.000080,2025-02-27 19:00:03
IRR,USD,0.000024,0.000024,2025-03-18 22:47:24
IQD,USD,0.000748,0.000778,2025-04-15 08:19:06
USD,NGNI,365.000000,366.000000,2024-12-04 19:00:03
USD,ZWL,25.233000,27.890000,2025-02-28 05:35:36
BRL,ARS,203.291400,203.393200,2025-04-15 16:53:28
BRL,AUD,0.267100,0.267500,2025-04-15 16:53:12
BRL,CAD,0.236702,0.237333,2025-04-15 16:52:16
BRL,CHF,0.139542,0.139681,2025-04-15 16:53:25
BRL,CLP,164.500000,167.660000,2025-04-15 16:48:27
BRL,DKK,1.122472,1.122958,2025-04-15 16:53:31
BRL,HKD,1.315226,1.318729,2025-04-15 16:52:16
BRL,JPY,24.294888,24.307260,2025-04-15 16:53:28
BRL,MXN,3.413200,3.416600,2025-04-15 16:53:23
BRL,SGD,0.223558,0.224154,2025-04-15 16:52:16
SGD,BRL,4.461223,4.473103,2025-04-15 16:52:16
AED,BRL,1.600090,1.601110,2025-04-15 16:53:29
BRL,AED,0.624567,0.624965,2025-04-15 16:53:29
BRL,BBD,0.337526,0.352410,2025-04-15 08:59:16
BRL,BHD,0.063598,0.064331,2025-04-15 16:52:16
BRL,CNY,1.248446,1.260285,2025-04-15 08:59:16
BRL,CZK,3.767785,3.774351,2025-04-15 16:53:33
BRL,EGP,8.649935,8.655712,2025-04-15 16:49:57
BRL,GBP,0.128100,0.128500,2025-04-15 16:42:46
BRL,HUF,61.358810,61.442160,2025-04-15 16:53:33
BRL,IDR,2852.777919,2853.514531,2025-04-15 16:53:28
BRL,ILS,0.623389,0.625336,2025-04-15 16:42:46
BRL,INR,14.546394,14.553717,2025-04-15 16:53:28
BRL,ISK,21.805775,21.896473,2025-04-15 16:53:28
BRL,JMD,26.765881,27.294206,2025-04-15 08:59:16
BRL,JOD,0.119985,0.120772,2025-04-15 14:59:49
BRL,KES,21.958710,22.288540,2025-04-15 10:19:12
BRL,KRW,242.217270,242.668470,2025-04-15 16:49:57
BRL,LBP,15218.264908,15216.742482,2025-03-04 23:15:11
BRL,LKR,50.503214,51.422842,2025-04-15 08:59:08
BRL,MAD,1.535842,1.637440,2025-04-15 08:59:16
BRL,MYR,0.752971,0.753439,2025-04-15 08:59:16
BRL,NAD,3.137121,3.136807,2025-03-04 23:15:11
BRL,NOK,1.805386,1.806338,2025-04-15 16:53:33
BRL,NPR,23.174548,23.674595,2025-04-15 08:59:16
BRL,NZD,0.287200,0.287600,2025-04-15 16:53:32
BRL,OMR,0.065125,0.065543,2025-04-15 16:53:33
BRL,PAB,0.167135,0.174577,2025-04-15 08:59:16
BRL,PHP,9.622481,9.642354,2025-04-15 16:50:52
BRL,PKR,47.708254,48.165634,2025-04-15 08:59:16
BRL,PLN,0.674630,0.675370,2025-03-18 22:51:36
BRL,QAR,0.601238,0.646099,2025-04-15 08:59:16
BRL,RON,0.747878,0.749194,2025-04-15 16:53:26
BRL,RUB,13.992347,14.029610,2025-04-15 16:52:16
BRL,SAR,0.636215,0.637394,2025-04-15 16:53:33
BRL,SEK,1.673462,1.677918,2025-04-15 16:52:16
BRL,THB,5.693721,5.694216,2025-04-15 16:52:59
BRL,TRY,6.452224,6.472372,2025-04-15 16:42:46
BRL,VEF,10.947800,10.949000,2025-02-28 18:59:03
BRL,XAF,105.631820,105.669060,2025-03-18 22:51:29
BRL,XCD,0.456408,0.461046,2025-04-15 14:59:49
BRL,XOF,98.763383,98.813972,2025-04-15 08:59:16
BRL,ZAR,3.230216,3.238819,2025-04-15 16:52:16
BRL,TWD,5.517382,5.517797,2025-04-15 16:53:33
DKK,BRL,0.890511,0.890889,2025-04-15 16:53:36
HKD,BRL,0.758306,0.760325,2025-04-15 16:52:16
MXN,BRL,0.292414,0.293193,2025-04-15 16:52:16
NOK,BRL,0.553606,0.553898,2025-04-15 16:53:38
NZD,BRL,3.472920,3.483764,2025-04-15 16:42:46
PLN,BRL,1.480670,1.482294,2025-03-18 22:51:36
SAR,BRL,1.568889,1.571797,2025-04-15 16:53:38
SEK,BRL,0.595977,0.597564,2025-04-15 16:52:16
THB,BRL,0.175294,0.175864,2025-04-15 16:53:29
TRY,BRL,0.154503,0.154985,2025-04-15 16:42:46
TWD,BRL,0.181232,0.181245,2025-04-15 16:53:38
VEF,BRL,0.091300,0.091400,2025-02-28 18:59:14
ZAR,BRL,0.308755,0.309577,2025-04-15 16:52:16
BRL,PYG,1346.127340,1384.584760,2025-04-15 08:59:16
BRL,UYU,7.247294,7.423509,2025-04-14 19:00:03
BRL,COP,737.600000,738.000000,2025-04-15 16:53:38
BRL,PEN,0.634400,0.635000,2025-04-15 16:53:07
BRL,BOB,1.154677,1.214061,2025-04-14 18:00:03
CLP,BRL,0.005931,0.006112,2025-04-15 16:48:27
PYG,BRL,0.000722,0.000743,2025-04-15 08:19:08
UYU,BRL,0.135506,0.138836,2025-04-15 08:19:08
COP,BRL,0.001361,0.001365,2025-04-15 16:52:16
PEN,BRL,1.566765,1.570937,2025-04-15 16:52:16
BOB,BRL,0.825967,0.868772,2025-04-15 08:19:06
RUB,BRL,0.071278,0.071468,2025-04-15 16:52:16
INR,BRL,0.068723,0.068734,2025-04-15 16:53:38
EUR,GBP,0.853130,0.853230,2025-04-15 16:53:41
EUR,JPY,161.593000,161.599000,2025-04-15 16:53:41
EUR,CHF,0.928200,0.928280,2025-04-15 16:53:41
EUR,AUD,1.777300,1.777580,2025-04-15 16:53:41
EUR,CAD,1.575610,1.575960,2025-04-15 16:53:40
EUR,NOK,11.999430,12.032260,2025-04-15 16:53:43
EUR,DKK,7.464040,7.466450,2025-04-15 16:53:43
EUR,PLN,4.288600,4.298200,2025-04-15 16:53:43
EUR,NZD,1.912100,1.912110,2025-04-15 16:53:43
EUR,SEK,11.138440,11.144690,2025-04-15 16:53:43
EUR,ILS,4.152500,4.179900,2025-04-15 12:01:13
EUR,TRY,42.935830,42.999810,2025-04-15 16:53:36
EUR,THB,37.832000,37.902000,2025-04-15 16:49:57
EUR,ZAR,21.499250,21.512290,2025-04-15 16:53:43
EUR,MXN,22.707800,22.715100,2025-04-15 16:53:43
EUR,SGD,1.488230,1.488460,2025-04-15 16:53:46
EUR,HUF,408.094000,408.436000,2025-04-15 16:53:45
EUR,HKD,8.753500,8.757500,2025-04-15 16:53:45
EUR,CZK,25.060600,25.096200,2025-04-15 16:53:36
EUR,KRW,1611.330000,1613.390000,2025-04-15 16:52:57
BHD,EUR,2.334812,2.367985,2025-04-15 16:27:44
EUR,AED,4.142100,4.147100,2025-04-15 16:49:57
EUR,AFN,81.290000,83.290000,2025-04-15 08:19:06
EUR,ALL,96.900000,101.900000,2025-04-15 08:19:05
EUR,ANG,2.016658,2.016729,2025-04-15 14:59:56
EUR,ARS,1352.220700,1352.229700,2025-04-15 16:53:19
EUR,BAM,1.945800,1.965800,2025-04-15 08:19:06
EUR,BBD,2.240600,2.340600,2025-04-15 08:19:06
EUR,BDT,136.040000,139.640000,2025-04-15 08:19:07
EUR,BGN,1.948400,1.963400,2025-04-15 16:27:44
EUR,BHD,0.422300,0.428300,2025-04-15 16:27:44
EUR,BIF,3344.800000,3400.800000,2025-04-15 08:19:06
EUR,BND,1.467700,1.517700,2025-04-15 08:19:05
EUR,BOB,7.639000,8.039000,2025-04-15 08:19:05
EUR,BSD,1.127500,1.141500,2025-04-15 08:19:06
EUR,BWP,15.488000,15.808000,2025-04-15 08:19:05
EUR,BYN,3.707600,3.717600,2025-04-15 08:19:06
EUR,BZD,2.228800,2.328800,2025-04-15 08:19:05
EUR,CLP,1093.790000,1095.650000,2025-04-15 16:48:27
EUR,CNY,8.251405,8.333919,2025-04-15 16:53:41
EUR,COP,4828.500000,4928.500000,2025-04-15 08:19:07
EUR,CRC,559.200000,587.200000,2025-04-15 08:19:06
EUR,CUP,27.070000,27.088400,2025-04-15 16:48:27
EUR,CVE,110.265000,110.265000,2025-03-03 21:09:04
EUR,DJF,197.520000,206.520000,2025-04-15 08:19:05
EUR,DOP,68.520000,70.120000,2025-04-15 08:19:06
EUR,DZD,149.407000,150.407000,2025-04-15 16:49:57
EUR,EGP,57.501000,57.551000,2025-04-15 16:49:57
EUR,ETB,149.965900,150.465900,2025-04-15 08:19:05
EUR,FJD,2.577900,2.602900,2025-04-15 16:49:57
EUR,GHS,17.559000,17.609000,2025-04-15 08:19:05
EUR,GMD,77.652818,77.661520,2025-03-05 16:48:49
EUR,GNF,9729.000000,9909.000000,2025-04-15 08:19:07
EUR,GTQ,8.547000,8.947000,2025-04-15 08:19:06
EUR,HNL,28.910000,29.910000,2025-04-15 08:19:06
EUR,HRK,7.384500,7.684500,2025-03-19 12:19:13
EUR,HTG,147.390000,149.390000,2025-04-15 08:19:06
EUR,IDR,18853.000000,19313.000000,2025-04-15 08:19:05
EUR,INR,96.632000,96.788000,2025-04-15 16:52:57
EUR,IQD,1456.100000,1516.100000,2025-04-15 08:19:06
EUR,IRR,47470.959500,47472.635200,2025-04-15 14:59:56
EUR,ISK,143.500000,147.500000,2025-04-15 08:19:06
EUR,JMD,177.680000,181.280000,2025-04-15 08:19:06
EUR,JOD,0.792800,0.807800,2025-04-15 16:27:44
EUR,KES,145.580000,148.580000,2025-04-15 08:19:07
EUR,KHR,4444.000000,4644.000000,2025-04-15 08:19:05
EUR,KWD,0.345250,0.347250,2025-04-15 16:49:56
EUR,KYD,0.925400,0.965400,2025-04-15 08:19:05
EUR,KZT,583.940000,589.940000,2025-04-15 08:19:05
EUR,LAK,24319.000000,24819.000000,2025-04-15 08:19:05
EUR,LBP,101607.800000,101687.800000,2025-04-15 08:19:05
EUR,LKR,334.680000,341.680000,2025-04-15 08:19:07
EUR,LSL,21.200700,21.660700,2025-04-15 08:19:07
EUR,LYD,6.184000,6.244000,2025-04-15 08:19:07
EUR,MAD,10.195200,10.875200,2025-04-15 08:19:07
EUR,MDL,19.298000,19.898000,2025-04-15 08:19:05
EUR,MGA,5126.000000,5226.000000,2025-04-15 08:19:05
EUR,MKD,61.075000,61.975000,2025-04-15 16:27:44
EUR,MMK,2364.670000,2366.470000,2025-04-15 15:42:27
EUR,MOP,8.865300,9.265300,2025-04-15 08:19:04
EUR,MRO,40.676000,42.076000,2025-02-28 19:00:08
EUR,MUR,49.390000,52.390000,2025-04-15 16:27:45
EUR,MWK,1963.200000,1971.200000,2025-04-15 08:19:05
EUR,MYR,4.929400,5.089400,2025-04-15 08:19:06
EUR,NAD,21.200700,21.660700,2025-04-15 08:19:06
EUR,NGN,1816.800000,1822.800000,2025-04-15 08:19:06
EUR,NIO,41.250000,42.250000,2025-04-15 08:19:07
EUR,NPR,153.841000,157.241000,2025-04-15 08:19:06
EUR,OMR,0.432920,0.435920,2025-04-15 16:49:56
EUR,PAB,1.109500,1.159500,2025-04-15 08:19:05
EUR,PEN,4.158100,4.318100,2025-04-15 08:19:07
EUR,PGK,4.540000,4.700000,2025-04-15 08:19:07
EUR,PHP,63.881000,64.181000,2025-04-15 16:49:57
EUR,PKR,316.701800,319.901800,2025-04-15 08:19:07
EUR,PYG,8936.000000,9196.000000,2025-04-15 08:19:07
EUR,QAR,3.991200,4.291200,2025-04-15 08:19:07
EUR,RON,4.977320,4.978080,2025-04-15 12:00:24
EUR,RSD,116.050000,118.450000,2025-04-15 08:19:06
EUR,RWF,1592.100000,1622.100000,2025-04-15 08:19:05
EUR,SAR,4.228600,4.239100,2025-04-15 16:52:57
EUR,SCR,15.156000,17.156000,2025-04-15 16:49:57
EUR,SDG,678.004535,683.518477,2025-04-14 20:59:59
EUR,SDR,0.787200,0.000000,2025-02-27 19:00:03
EUR,SOS,608.300000,688.300000,2025-04-15 08:19:05
EUR,STD,24.490000,25.000000,2025-02-28 18:00:00
EUR,SVC,9.687000,10.167000,2025-04-15 08:19:07
EUR,SYP,13486.200000,13499.176000,2025-02-28 18:29:59
EUR,SZL,21.207000,21.607000,2025-04-15 08:19:06
EUR,TND,3.388900,3.420900,2025-04-15 08:19:06
EUR,TTD,7.554000,7.854000,2025-04-15 08:19:06
EUR,TWD,36.685269,36.702197,2025-04-15 16:53:57
EUR,TZS,3004.000000,3104.000000,2025-04-15 08:19:05
EUR,UAH,46.415800,47.015800,2025-04-15 08:19:07
EUR,UGX,4114.000000,4204.000000,2025-04-15 08:19:06
EUR,UYU,47.800000,49.000000,2025-04-15 08:19:07
EUR,UZS,14678.000000,14748.000000,2025-04-15 08:19:07
EUR,VEF,66.816800,66.824100,2025-02-28 19:00:08
EUR,VND,28892.000000,29692.000000,2025-04-15 08:19:05
EUR,XAF,655.450620,655.516560,2025-03-18 22:51:29
EUR,XOF,655.476906,655.551154,2025-04-15 08:59:59
EUR,XPF,119.330000,119.330000,2025-03-03 21:09:03
EUR,ZMK,29.560000,29.660000,2025-02-28 19:00:08
GHS,EUR,0.056789,0.056951,2025-04-15 08:19:05
NZD,EUR,0.522990,0.523190,2025-04-15 16:54:00
SGD,EUR,0.671810,0.671960,2025-04-15 16:54:00
AED,EUR,0.241132,0.241423,2025-04-15 16:49:57
DKK,EUR,0.133935,0.133953,2025-04-15 16:54:01
EUR,XCD,2.955344,2.965688,2025-03-18 22:51:22
HKD,EUR,0.114211,0.114221,2025-04-15 16:54:01
MXN,EUR,0.044022,0.044035,2025-04-15 16:54:01
NOK,EUR,0.083192,0.083268,2025-04-15 16:54:02
PLN,EUR,0.232850,0.233000,2025-04-15 16:54:01
RUB,EUR,0.010734,0.010735,2025-04-15 16:53:59
SAR,EUR,0.235894,0.236451,2025-04-15 16:49:57
SEK,EUR,0.089735,0.089758,2025-04-15 16:54:02
TRY,EUR,0.023250,0.023290,2025-04-15 16:50:47
TWD,EUR,0.027241,0.027266,2025-04-15 16:54:00
VEF,EUR,0.014960,0.014970,2025-02-28 18:59:14
ZAR,EUR,0.046473,0.046529,2025-04-15 16:54:03
MAD,EUR,0.091952,0.098085,2025-04-15 08:19:07
KRW,EUR,0.000620,0.000621,2025-04-15 16:53:57
EGP,EUR,0.017376,0.017391,2025-04-15 16:49:57
EUR,MZN,71.819911,73.296051,2025-04-14 18:00:00
INR,EUR,0.010330,0.010347,2025-04-15 16:51:03
JOD,EUR,1.238000,1.261000,2025-04-15 16:27:44
KWD,EUR,2.879770,2.896452,2025-04-15 16:49:56
